idx,transaction_id,user_id,transaction_date,product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,merchant_id,device_type,location,USD
42,5c807c66-52ec-419c-aa5b-4daeec5a79cb,USER__042,2024-11-11,Insurance Premium,Travel Insurance,Max Life,3855.29,23.46,73.61,117,UPI,Successful,MERCH_0191,iOS,Urban,46.545
43,f4f1bf20-5851-4c25-a324-a5a948ecbbaa,USER__043,2024-12-14,Mobile Recharge,Postpaid Plan 599,Airtel,1446.76,6.15,75.16,684,Debit Card,Successful,MERCH_0585,iOS,Suburban,17.43492
44,6723ec06-5f83-4995-ad8f-aa055d8e317d,USER__044,2024-10-02,Gas Bill,Piped Natural Gas,Bharat Gas,3090.15,20.3,32.99,714,Debit Card,Successful,MERCH_0212,Android,Urban,37.3254
45,0a446f41-9c5a-4616-a6a8-ad692ed9d8a4,USER__045,2024-09-02,Water Bill,Tanker Supply,Hyderabad Water Board,1203.62,32.45,73.95,961,Debit Card,Successful,MERCH_0336,Web,Urban,14.83284
46,bbc20141-064b-4592-8deb-72212b113fd4,USER__046,2024-12-13,Grocery Shopping,Dairy Milk Chocolate,Amazon Pantry,372.6,6.61,67.38,379,UPI,Successful,MERCH_0078,Android,Suburban,4.550520000000001
47,64fb3179-c2e8-41e0-88f5-51ec4bfe8a3d,USER__047,2024-09-19,Movie Ticket,3 Idiots,INOX,7393.64,33.05,80.36,415,Bank Transfer,Successful,MERCH_0901,Android,Rural,89.12028000000001
48,8dd4359a-0f15-41d0-bee9-dbaeb54e62e7,USER__048,2024-10-21,Water Bill,Commercial Property,Bangalore Water Supply,6326.46,8.23,64.76,909,UPI,Successful,MERCH_0125,iOS,Suburban,76.01628
49,569dcf7a-9e65-4271-9484-7acdc0f1118b,USER__049,2024-12-24,Loan Repayment,Education Loan EMI,HDFC Bank,1044.85,3.6,95.47,769,Debit Card,Successful,MERCH_0797,Android,Urban,12.581399999999999
50,09c210a8-42b4-40e2-aea3-9d8496c372a0,USER__050,2024-09-20,Taxi Fare,Rental Package,Uber,408.34,9.82,99.57,153,Credit Card,Successful,MERCH_0319,Android,Suburban,5.01792
51,17ea2a26-9889-4de2-8741-cbed99695971,USER__051,2024-12-07,Rent Payment,Co-working Space,OYO Life,8783.03,47.7,51.8,373,Bank Transfer,Successful,MERCH_0322,iOS,Rural,105.96876000000002
52,8c0d75ff-a01b-48ac-aa8f-fd82cf56f061,USER__052,2024-12-22,Mobile Recharge,Postpaid Plan 599,Idea,9654.79,30.42,44.61,602,Debit Card,Successful,MERCH_0459,Android,Rural,116.22252000000002
53,55c48f2a-777c-4a79-b98f-ee1fc6c10cf5,USER__053,2024-09-13,Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,4910.93,40.94,48.52,804,Credit Card,Successful,MERCH_0441,Android,Suburban,59.42244
54,877c0fc1-f7f6-4f54-b828-901899ee9f65,USER__054,2024-09-22,Food Delivery,Pizza Margherita,Uber Eats,7012.4,40.47,47.37,872,Wallet Balance,Successful,MERCH_0149,Android,Urban,84.63444
55,9b4312a2-70fb-41bc-b657-669f173027d9,USER__055,2024-11-21,Gas Bill,Piped Natural Gas,Mahanagar Gas,6464.24,1.28,81.33,281,Debit Card,Successful,MERCH_0284,Web,Urban,77.58623999999999
56,20ca6543-cc63-4d1d-bab5-5cbcdf2f7bc4,USER__056,2024-10-20,Loan Repayment,Home Loan EMI,ICICI Bank,9828.97,21.55,50.04,414,UPI,Successful,MERCH_0390,Android,Urban,118.20623999999998
57,866c66b0-7e40-4db9-8e6a-d719974e4a7a,USER__057,2024-12-01,Taxi Fare,Airport Transfer,Rapido,4849.13,46.72,88.66,859,Bank Transfer,Successful,MERCH_0591,iOS,Urban,58.75020000000001
58,783022a5-7e76-4bb8-9fb0-586b7d59172c,USER__058,2024-10-03,Taxi Fare,Outstation Trip,Rapido,7078.24,29.32,92.22,533,Bank Transfer,Successful,MERCH_0619,Android,Urban,85.29072
59,3044006d-778b-4cfa-8003-426759e482f9,USER__059,2024-12-01,Streaming Service,Family Subscription,Netflix,748.75,21.57,34.34,344,Debit Card,Successful,MERCH_0285,Android,Urban,9.24384
60,c64c9431-0700-4c10-922c-8d412684acd2,USER__060,2024-09-13,Internet Bill,Business Internet Plan,BSNL Broadband,615.89,11.53,21.79,777,UPI,Successful,MERCH_0302,Android,Urban,7.529039999999999
61,5aca1931-8a08-4f72-9b91-c3f627f9b647,USER__061,2024-10-09,Taxi Fare,Outstation Trip,Rapido,96.7,39.0,72.11,115,Wallet Balance,Successful,MERCH_0829,Android,Urban,1.6283999999999998
62,a9356e2d-5f4e-487e-b812-6010c743745f,USER__062,2024-11-11,Gaming Credits,1000 Game Coins,Minecraft,8716.7,49.55,11.57,397,Wallet Balance,Successful,MERCH_0119,Android,Urban,105.19500000000001
63,c6dbd684-88f7-4ecc-bd22-c674dbfb13d9,USER__063,2024-10-01,Online Shopping,Smart LED TV,Myntra,3771.14,39.58,91.57,547,UPI,Successful,MERCH_0480,Android,Urban,45.72864
64,6d684943-0472-4f24-af22-afd72dbe8f0e,USER__064,2024-10-12,Grocery Shopping,Whole Wheat Atta,Flipkart Supermart,6031.6,22.93,31.89,207,UPI,Successful,MERCH_0624,Android,Urban,72.65436000000001
65,d3495957-02c3-41ed-b415-820289947cf6,USER__065,2024-09-14,Electricity Bill,Residential Bill,Reliance Energy,8108.09,13.2,36.14,867,Wallet Balance,Successful,MERCH_0601,Android,Urban,97.45548000000001
66,5aa196df-d98e-434e-a144-0683843d614c,USER__066,2024-12-10,Water Bill,Industrial Use,Chennai Metro Water,3424.46,27.19,3.46,831,UPI,Successful,MERCH_0437,Web,Suburban,41.4198
67,373e20b9-82d4-4168-ba6a-c5835c6d4bfa,USER__067,2024-12-26,Internet Bill,4G Unlimited Plan,Hathway,2896.65,18.2,80.13,808,Debit Card,Successful,MERCH_0681,iOS,Urban,34.9782
68,8201b4a9-ba83-47eb-a947-677ddd79f1e7,USER__068,2025-01-02,Gas Bill,Auto LPG,Mahanagar Gas,9067.49,16.75,51.84,719,Debit Card,Successful,MERCH_0819,Android,Suburban,109.01088
69,6ea4a826-e48a-47e8-bbe4-0d61d35a6802,USER__069,2024-12-09,Streaming Service,Standard Plan,Amazon Prime,1188.69,32.07,46.51,490,UPI,Successful,MERCH_0513,Android,Suburban,14.64912
70,23b2fcb6-19ed-4fe8-837b-0c77ebd9644b,USER__070,2024-11-18,Rent Payment,1BHK Apartment Rent,Housing.com,2938.73,12.92,46.18,481,Bank Transfer,Successful,MERCH_0544,iOS,Suburban,35.4198
71,10b08a73-c807-4140-8d70-e64e046f933e,USER__071,2024-11-13,Mobile Recharge,Postpaid Plan 599,Vodafone,2189.95,14.73,89.05,803,UPI,Successful,MERCH_0152,Android,Urban,26.456159999999997
72,bfa9798a-6936-458d-aa21-ce248ba57ab6,USER__072,2024-10-06,Gift Card,Rs. 1000 Shopping Voucher,Amazon Pay,4691.67,38.55,80.81,981,Debit Card,Successful,MERCH_0005,Android,Suburban,56.762640000000005
73,93778797-e651-416b-8b06-88e71120a455,USER__073,2024-10-13,Food Delivery,Vegetable Biryani,Foodpanda,857.92,41.42,44.5,43,Credit Card,Successful,MERCH_0049,Android,Urban,10.792079999999999
74,666d31da-1bce-435c-b3e9-ac338a4bbe63,USER__074,2024-09-25,Online Shopping,Fitness Tracker,Nykaa,8391.75,31.98,99.29,514,Bank Transfer,Successful,MERCH_0211,Android,Urban,101.08476
75,c3ffd155-2581-44be-8e4b-f5d78397e35e,USER__075,2024-11-09,Water Bill,Commercial Property,Mumbai Water,9128.09,9.06,47.54,337,Debit Card,Successful,MERCH_0822,Web,Urban,109.6458
76,5bfa32c5-0dfd-4a7f-98a0-41f75b4c5ac2,USER__076,2024-09-12,Movie Ticket,3 Idiots,SPI Cinemas,3426.77,10.67,39.77,739,Debit Card,Successful,MERCH_0526,Android,Urban,41.24928
77,2a9477e4-7a41-41ef-ba5e-16d12b696609,USER__077,2024-11-12,Streaming Service,Standard Plan,Hotstar,8125.43,31.15,75.32,916,Bank Transfer,Successful,MERCH_0255,Android,Rural,97.87896
78,cc0ba380-73e8-4340-ad85-3d50bd9ccb5f,USER__078,2024-11-04,Movie Ticket,Baahubali 2,Cinepolis,6496.05,10.27,1.54,117,Bank Transfer,Successful,MERCH_0717,Web,Urban,78.07584000000001
79,937ea2bc-4d8d-4d1d-a9fd-4945d33e7cfc,USER__079,2024-09-23,Movie Ticket,Baahubali 2,Cinepolis,1422.16,2.7,23.37,745,Debit Card,Successful,MERCH_0188,Web,Urban,17.09832
80,f94efc68-227c-46ba-a6dd-d8706455aa39,USER__080,2024-12-09,Flight Booking,Chennai to Hyderabad,MakeMyTrip,7018.18,14.38,1.93,130,Credit Card,Successful,MERCH_0025,Android,Urban,84.39072
81,0f0ee41a-c0cb-48cb-9e3a-466cb5cd374e,USER__081,2024-12-23,Insurance Premium,Travel Insurance,HDFC Life,7061.81,16.36,31.02,689,Debit Card,Successful,MERCH_0836,Android,Urban,84.93804
82,a0fbbff8-dd54-4897-b6b3-9992711bf576,USER__082,2024-09-06,Electricity Bill,Industrial Bill,Reliance Energy,4136.44,27.96,79.1,85,Bank Transfer,Successful,MERCH_0059,Android,Urban,49.9728
84,fe525678-2715-4b45-9ec6-9f5db92547bb,USER__084,2024-09-23,Loan Repayment,Business Loan Repayment,Bajaj Finserv,7892.35,1.59,10.34,712,Debit Card,Successful,MERCH_0914,iOS,Urban,94.72728000000001
85,b2c258bb-ba9c-42d1-9419-76847927d525,USER__085,2024-11-18,Mobile Recharge,Data Pack 50GB,Vodafone,2668.82,16.31,8.45,100,UPI,Successful,MERCH_0536,Android,Urban,32.221560000000004
86,d897b708-d59b-4b23-bded-0a24f5a4e0fa,USER__086,2024-12-31,Education Fee,MBA Entrance Prep,Udemy,8739.5,6.53,1.15,368,Bank Transfer,Successful,MERCH_0028,iOS,Urban,104.95236000000001
87,7b68998f-2aaf-4733-b873-1a46fa2c56f5,USER__087,2024-12-09,Flight Booking,Ahmedabad to Jaipur,Yatra,5080.37,18.86,61.96,536,Credit Card,Successful,MERCH_0292,iOS,Urban,61.19076
88,6faef832-98c9-435b-8e2d-e0950486c941,USER__088,2024-11-29,Mobile Recharge,Annual Plan 2999,Jio,8451.05,5.48,6.55,265,Credit Card,Successful,MERCH_0796,Android,Urban,101.47836
89,46447c57-cf75-4128-8487-802e3111104c,USER__089,2024-10-28,Bus Ticket,Volvo Multi-Axle,Goibibo,12.86,36.32,18.54,271,Credit Card,Successful,MERCH_0924,Web,Urban,0.59016
90,dbdd2a0c-4e9c-4953-99ce-3d3eb5298798,USER__090,2024-11-15,Grocery Shopping,Whole Wheat Atta,BigBasket,1445.33,18.06,53.29,995,Credit Card,Successful,MERCH_0426,iOS,Urban,17.560679999999998
91,4cf9c225-0e97-4ad4-8e42-9e70029004fa,USER__091,2024-12-17,Water Bill,Industrial Use,Hyderabad Water Board,3635.8,5.49,16.98,506,Credit Card,Successful,MERCH_0599,Android,Urban,43.69548
92,722acc23-f00b-4f1e-ba1a-ce5141b93df0,USER__092,2025-01-08,Internet Bill,Student Special Plan,Jio Fiber,9480.13,13.75,66.23,765,Credit Card,Successful,MERCH_0376,Android,Urban,113.92656
93,47c2aa95-9d76-45bd-a9cc-8b0ca46ab633,USER__093,2025-01-07,Bus Ticket,AC Seater,Goibibo,7517.7,21.91,94.53,777,Wallet Balance,Successful,MERCH_0783,Android,Urban,90.47532
94,9d9503cd-cdd8-445d-88ca-5323bc6fa8f4,USER__094,2024-09-09,Internet Bill,4G Unlimited Plan,Jio Fiber,2207.77,43.56,1.96,974,Wallet Balance,Successful,MERCH_0557,iOS,Suburban,27.01596
95,4ef97d92-fd71-406d-9f57-6daac104b60c,USER__095,2024-09-12,Food Delivery,Butter Chicken,Uber Eats,3366.31,2.87,75.32,301,Bank Transfer,Successful,MERCH_0183,Android,Urban,40.43016
96,76411eb6-92bb-45bc-8266-fe3ecdcd7a2f,USER__096,2024-09-02,Rent Payment,2BHK Flat Deposit,Nestaway,1238.04,31.05,7.53,215,UPI,Successful,MERCH_0193,iOS,Suburban,15.22908
97,83719b09-f0c1-4387-940d-7887070c9356,USER__097,2024-11-05,Streaming Service,Basic Plan,ZEE5,6361.03,6.08,16.61,185,Debit Card,Successful,MERCH_0351,Android,Suburban,76.40532
98,c62a1a6c-4108-4e32-a49a-e621c4cf7cd1,USER__098,2024-12-10,Food Delivery,Masala Dosa,Domino's,2966.49,36.57,25.29,17,Bank Transfer,Successful,MERCH_0314,Web,Urban,36.03672
99,eef0ec78-df0d-4f08-9397-7f5d91511cec,USER__099,2024-12-17,Food Delivery,Pizza Margherita,Uber Eats,8591.59,40.07,8.79,639,Credit Card,Successful,MERCH_0491,Android,Urban,103.57992
100,bc531e39-cb1c-421f-a103-be39f7f80c6d,USER__100,2024-12-10,Education Fee,MBA Entrance Prep,Coursera,4804.37,47.31,34.84,59,UPI,Successful,MERCH_0180,Android,Urban,58.22016000000001
101,6f247193-36fc-4ecf-a484-75da7a556e16,USER__101,2024-10-20,Water Bill,Tanker Supply,Bangalore Water Supply,7572.76,23.8,4.28,743,UPI,Successful,MERCH_0756,iOS,Suburban,91.15872
102,8c5f4fa8-a76b-46ce-9734-c5f3129c34cc,USER__102,2024-10-24,Streaming Service,Premium Plan,Hotstar,5841.56,33.2,5.62,657,Debit Card,Successful,MERCH_0437,Web,Urban,70.49712000000001
103,29f43ae0-e54f-472c-9a06-e4326c581b03,USER__103,2025-01-08,Electricity Bill,Agricultural Bill,Reliance Energy,5060.4,40.23,34.4,808,Bank Transfer,Successful,MERCH_0264,Web,Urban,61.207559999999994
104,69852da3-c8a2-4f28-b358-f661e1ef68f6,USER__104,2024-10-15,Education Fee,MBA Entrance Prep,Coursera,6696.57,37.49,31.55,741,Bank Transfer,Successful,MERCH_0406,Android,Rural,80.80872
105,e6b75594-2fd3-4b13-9961-a78718a09802,USER__105,2024-09-15,Water Bill,Commercial Property,Chennai Metro Water,6139.37,24.65,35.73,105,Credit Card,Successful,MERCH_0848,Android,Urban,73.96824
106,e4e06d74-5019-4c1c-9e6f-72a13cb0d55e,USER__106,2025-01-03,Mobile Recharge,Family Plan 999,Vodafone,311.14,24.2,73.73,470,Debit Card,Successful,MERCH_0572,iOS,Urban,4.02408
107,6cd180f1-cd2f-44d3-8f81-afc5e3d16e9b,USER__107,2024-12-18,Grocery Shopping,Basmati Rice,BigBasket,4241.54,38.1,37.51,140,Credit Card,Successful,MERCH_0034,iOS,Urban,51.35568000000001
108,56df4426-491c-4a04-a78c-0c30ebbbebc4,USER__108,2024-10-14,Grocery Shopping,Dairy Milk Chocolate,Grofers,9425.57,35.34,32.74,46,Credit Card,Successful,MERCH_0345,Android,Urban,113.53092
109,824f8b67-469f-41c2-9647-8440694c25d9,USER__109,2024-10-14,Gift Card,Rs. 500 E-Gift Card,Shoppers Stop,2356.93,20.48,78.2,356,Debit Card,Successful,MERCH_0969,Android,Urban,28.52892
110,fa48c4e7-90f5-4cc0-8793-4e33d6319e0a,USER__110,2024-10-09,Online Shopping,Smart LED TV,Snapdeal,7395.31,23.91,39.39,798,Debit Card,Successful,MERCH_0606,Android,Suburban,89.03064
111,92bfc69e-b10d-4510-97c0-680cc2b7c8ea,USER__111,2024-10-27,Electricity Bill,Commercial Bill,CESC,7602.07,34.42,82.11,849,UPI,Successful,MERCH_1000,iOS,Urban,91.63788
112,8d1428cb-4a7e-43dd-beda-3bc54865b79e,USER__112,2024-12-26,Streaming Service,Family Subscription,ZEE5,6337.18,6.01,99.34,679,Credit Card,Successful,MERCH_0844,iOS,Rural,76.11828000000001
113,bfff01fd-a0f1-4798-8339-25d5a53802d3,USER__113,2024-10-15,Taxi Fare,City Ride,Ola,3692.3,6.02,95.87,929,Bank Transfer,Successful,MERCH_0482,iOS,Urban,44.37984
115,06ce6a70-0dd9-45b6-8a3a-7029420cb38e,USER__115,2024-11-10,Education Fee,Python Programming Course,Unacademy,285.88,45.46,12.95,75,UPI,Successful,MERCH_0453,Android,Urban,3.9760799999999996
116,3a534caf-6a8e-437f-9fc0-9c618c32965e,USER__116,2024-09-06,Gas Bill,Auto LPG,Adani Gas,4850.57,18.27,72.06,772,Wallet Balance,Successful,MERCH_0801,iOS,Suburban,58.426080000000006
117,2abe84f3-f768-4c3c-aed0-e87a1ea1b54f,USER__117,2024-11-17,Gift Card,Rs. 2000 Gift Voucher,Shoppers Stop,2561.56,17.73,85.84,601,Credit Card,Successful,MERCH_0827,iOS,Urban,30.95148
118,2c46ab5a-857e-4cda-9a11-07155dc70e6a,USER__118,2024-09-02,Mobile Recharge,Postpaid Plan 599,BSNL,7444.55,31.44,6.0,713,Bank Transfer,Successful,MERCH_0941,iOS,Suburban,89.71188
119,8d3fcff9-cedd-4e1b-8ecd-8768513c588d,USER__119,2024-11-27,Streaming Service,Basic Plan,Hotstar,4107.54,48.36,74.12,287,Wallet Balance,Successful,MERCH_0142,Android,Urban,49.870799999999996
120,aadcdecc-e35e-49a6-a26d-3a6bc2e8599c,USER__120,2024-11-05,Gift Card,Rs. 2000 Gift Voucher,Lifestyle,8138.42,11.22,37.25,26,Wallet Balance,Successful,MERCH_0815,iOS,Suburban,97.79568
121,16f56a5f-d078-4c97-9c4d-186f3a6a6005,USER__121,2024-11-27,Taxi Fare,Share Ride,Jugnoo,7753.32,14.2,51.88,10,Debit Card,Successful,MERCH_0581,iOS,Suburban,93.21024
122,244f408a-bf66-446b-b91a-4cf5b975c23c,USER__122,2024-09-22,Electricity Bill,Residential Bill,BSES,401.62,34.59,49.53,974,Credit Card,Successful,MERCH_0244,Web,Urban,5.234520000000001
123,846463d6-e901-4ac5-8d48-a51479370c63,USER__123,2024-10-20,Gaming Credits,1000 Game Coins,PUBG Mobile,9798.21,10.88,74.99,648,Bank Transfer,Successful,MERCH_0201,iOS,Urban,117.70907999999999
124,fbde7f5e-495c-40f5-9dc4-f2ddb431dd66,USER__124,2025-01-12,Insurance Premium,Home Insurance,Max Life,3219.31,30.47,16.05,184,Wallet Balance,Successful,MERCH_0591,iOS,Urban,38.99736
125,6864b904-d7ac-4e67-9ac5-22c822552777,USER__125,2024-12-20,Loan Repayment,Business Loan Repayment,Axis Bank,7838.24,38.64,2.2,320,Debit Card,Successful,MERCH_0037,iOS,Urban,94.52256
