Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency,USD,Merchant
31/08/2018 9:26,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR,0.432,Best Buy
30/08/2018 21:10,Cash,Food,Sweets,Warna Srikhand pav kg,78.0,Expense,INR,0.936,eBay
30/08/2018 21:09,Cash,Household,Kirana,Supermart,343.0,Expense,INR,4.116,Best Buy
29/08/2018 12:21,Cash,Food,Grocery,Baking soda,27.0,Expense,INR,0.324,Amazon
29/08/2018 12:21,Cash,Food,Ice cream,chocobar,15.0,Expense,INR,0.18,Lyft
29/08/2018 12:11,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR,0.432,Uber
28/08/2018 21:04,Saving Bank account 1,Dividend earned on Shares,,Astral Stocks,6.75,Income,INR,0.081,Home Depot
28/08/2018 19:16,Saving Bank account 1,Dividend earned on Shares,,Reliance Stocks,18.0,Income,INR,0.216,Walmart
27/08/2018 21:30,Cash,Food,curd,Dahi 2 packets,20.0,Expense,INR,0.24,Shell
27/08/2018 10:52,Cash,Food,breakfast,2 plates poha,60.0,Expense,INR,0.72,Lyft
27/08/2018 10:52,Cash,Food,Biscuits,Khari packet,45.0,Expense,INR,0.54,Home Depot
27/08/2018 10:52,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR,0.432,Lyft
26/08/2018 21:04,Saving Bank account 1,Interest,,interest paid,30.0,Income,INR,0.36,Target
25/08/2018 21:04,Cash,Apparel,Laundry,13 clothes ironing,91.0,Expense,INR,1.092,Walmart
24/08/2018 22:13,Credit Card,Food,Dinner,Home Food Delivery,1120.0,Expense,INR,13.44,Uber
24/08/2018 22:12,Saving Bank account 1,Other,,From Family,1000.0,Income,INR,12.0,Uber
24/08/2018 20:20,Cash,Food,Rajgira ladu,,20.0,Expense,INR,0.24,Home Depot
24/08/2018 20:17,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR,0.432,Best Buy
24/08/2018 13:34,Cash,Festivals,Navratri,Ganpati+ navratri vargani,1000.0,Expense,INR,12.0,Home Depot
23/08/2018 21:29,Credit Card,Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1305.4,Expense,INR,15.6648,Best Buy
23/08/2018 21:29,Credit Card,Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1205.4,Expense,INR,14.4648,Lyft
23/08/2018 19:55,Saving Bank account 1,Food,Lunch,Catering Service,60.0,Expense,INR,0.72,Shell
22/08/2018 22:31,Cash,Food,Milk,Half lit  milk,37.0,Expense,INR,0.444,Target
22/08/2018,Saving Bank account 1,Life Insurance,,,11043.0,Transfer-Out,INR,132.516,Walmart
21/08/2018 16:15,Cash,Food,Tea,cutting chai,12.0,Expense,INR,0.144,Target
21/08/2018 16:15,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR,0.432,Target
19/08/2018,Saving Bank account 1,subscription,Netflix,1 month subscription,199.0,Expense,INR,2.388,Uber
17/08/2018 20:06,Saving Bank account 1,Food,curd,Dahi 2 packets,20.0,Expense,INR,0.24,Target
17/08/2018 19:21,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR,0.432,Shell
17/08/2018 12:40,Saving Bank account 1,Dividend earned on Shares,,Pidilite Stocks,22.0,Income,INR,0.264,Amazon
16/08/2018 19:08,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR,1.884,Uber
15/08/2018 9:44,Cash,Food,Sweets,Warna Srikhand half kg,290.0,Expense,INR,3.48,Target
15/08/2018 9:11,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR,2.592,Walmart
14/08/2018 10:59,Saving Bank account 1,Dividend earned on Shares,,ITC Stocks,124.0,Income,INR,1.488,Best Buy
14/08/2018 10:04,Cash,Family,Pocket money,,30.0,Expense,INR,0.36,Interac Transfer
14/08/2018 9:51,Cash,Food,snacks,Dahi,32.0,Expense,INR,0.384,Amazon
14/08/2018 9:50,Cash,Household,Kirana,Toothpaste Patanjali,160.0,Expense,INR,1.92,Lyft
14/08/2018 9:48,Cash,Apparel,Laundry,8 clothes ironing,56.0,Expense,INR,0.672,Shell
14/08/2018 9:46,Cash,Food,Ice cream,Vanila family pack,115.0,Expense,INR,1.38,Amazon
13/08/2018 18:37,Cash,Household,Appliances,5 litres can Distilled water,100.0,Expense,INR,1.2,eBay
13/08/2018 18:36,Cash,Household,home decor,Brass Puja plate and diva,220.0,Expense,INR,2.64,Amazon
13/08/2018 18:35,Cash,Food,Grocery,Half kg Lahsoon,45.0,Expense,INR,0.54,Amazon
13/08/2018 18:33,Cash,Household,Kirana,Supermart,594.0,Expense,INR,7.128,Shell
13/08/2018 10:04,Cash,Food,Ice cream,Vanila cup,10.0,Expense,INR,0.12,Starbucks
13/08/2018 10:04,Cash,Food,Ice cream,chocobar,20.0,Expense,INR,0.24,Best Buy
13/08/2018,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR,60.0,Walmart
13/08/2018,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR,60.0,Amazon
11/08/2018,Cash,Food,snacks,8 kachori,96.0,Expense,INR,1.152,Amazon
10/08/2018,Cash,Family,Pocket money,,35.0,Expense,INR,0.42,Interac Transfer
7/08/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR,12.0,Amazon
6/08/2018,Cash,Beauty,grooming,hair cut,100.0,Expense,INR,1.2,Target
5/08/2018,Cash,Family,Pocket money,,100.0,Expense,INR,1.2,Interac Transfer
5/08/2018,Cash,Food,Tea,cutting chai,10.0,Expense,INR,0.12,eBay
5/08/2018,Credit Card,Health,Health,eyewear Glasses payment remaining,4300.0,Expense,INR,51.6,Starbucks
5/08/2018,Credit Card,Apparel,Clothing,For Family,3410.0,Expense,INR,40.92,Best Buy
5/08/2018,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR,0.24,Shell
5/08/2018,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR,0.18,Target
5/08/2018,Credit Card,Family,clothes,Bows,398.0,Expense,INR,4.776,Interac Transfer
3/08/2018,Saving Bank account 1,Other,,From Family,100.0,Income,INR,1.2,Amazon
3/08/2018,Cash,Family,Pocket money,,2000.0,Expense,INR,24.0,Interac Transfer
3/08/2018,Saving Bank account 1,Dividend earned on Shares,,Redington Stocks,180.0,Income,INR,2.16,Target
2/08/2018,Cash,Household,Kirana,Supermart,18.0,Expense,INR,0.216,eBay
2/08/2018,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR,2.592,Home Depot
2/08/2018,Cash,Health,Health,eyewear Glasses advance,1000.0,Expense,INR,12.0,eBay
1/08/2018,Cash,Family,Pocket money,,40.0,Expense,INR,0.48,Interac Transfer
1/08/2018,Saving Bank account 1,Public Provident Fund,,,12500.0,Transfer-Out,INR,150.0,Target
1/08/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000.0,Transfer-Out,INR,24.0,Shell
31/07/2018 21:52,Cash,Apparel,Laundry,13 clothes ironing,91.0,Expense,INR,1.092,Home Depot
31/07/2018 18:01,Saving Bank account 1,Money transfer,Home,,30000.0,Expense,INR,360.0,Home Depot
31/07/2018 13:45,Cash,maid,,July salary,2000.0,Expense,INR,24.0,Uber
31/07/2018 13:44,Cash,Food,chocolate,10 melody,10.0,Expense,INR,0.12,Lyft
31/07/2018 9:05,Saving Bank account 1,Salary,,From workplace ,70255.0,Income,INR,843.06,Target
30/07/2018 18:44,Cash,Health,Medicine,Glucose D(50) + flora bc (40)+cyra 20(10),100.0,Expense,INR,1.2,Target
30/07/2018 13:19,Cash,Health,Medicine,,132.0,Expense,INR,1.584,Home Depot
30/07/2018 13:19,Saving Bank account 1,Food,Lunch,Catering Service,212.0,Expense,INR,2.544,Shell
30/07/2018 11:49,Cash,Food,breakfast,1 plates poha,25.0,Expense,INR,0.3,Amazon
29/07/2018 19:29,Saving Bank account 1,Food,Eating out,Paneer pizza,260.0,Expense,INR,3.12,Walmart
29/07/2018 15:52,Cash,Transportation,auto,Decathlon Place A to Place A station,50.0,Expense,INR,0.6,Lyft
29/07/2018 11:39,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR,0.18,Best Buy
29/07/2018 11:38,Saving Bank account 1,Transportation,Train,2 Place 0 to Place A returns,40.0,Expense,INR,0.48,Walmart
29/07/2018 10:12,Cash,Food,breakfast,Medu vada 3 plate,105.0,Expense,INR,1.26,Home Depot
28/07/2018 23:42,Cash,Family,Pocket money,,200.0,Expense,INR,2.4,Interac Transfer
28/07/2018 23:42,Debit Card,Culture,Movie,2 INOX ,481.36,Expense,INR,5.77632,Amazon
28/07/2018 21:30,Cash,Food,vegetables,,195.0,Expense,INR,2.34,Best Buy
28/07/2018 20:45,Credit Card,Household,Kirana,Supermart,3750.0,Expense,INR,45.0,Lyft
27/07/2018 18:39,Saving Bank account 1,Other,,Demat account charges,826.0,Expense,INR,9.912,Walmart
26/07/2018 23:06,Cash,Food,Biscuits,Toast packet,40.0,Expense,INR,0.48,Best Buy
26/07/2018 13:44,Saving Bank account 1,Tax refund,,,6780.0,Income,INR,81.36,Best Buy
23/07/2018 12:49,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,154.0,Expense,INR,1.848,eBay
23/07/2018 12:33,Cash,Food,breakfast,4 plates poha,100.0,Expense,INR,1.2,Home Depot
21/07/2018 19:02,Cash,Household,Kirana,Supermart,368.0,Expense,INR,4.416,Walmart
21/07/2018 19:02,Cash,Food,fruits,Khajur pav kg,30.0,Expense,INR,0.36,Shell
21/07/2018 18:37,Saving Bank account 1,Food,snacks,2 Bhajipav + 2 vadapav,60.0,Expense,INR,0.72,Amazon
21/07/2018 8:42,Cash,Food,Biscuits,Toast packet,45.0,Expense,INR,0.54,Walmart
20/07/2018 19:59,Cash,Food,Ice cream,chocobar,20.0,Expense,INR,0.24,Shell
20/07/2018 19:59,Cash,Food,Potato,potato 1kg,25.0,Expense,INR,0.3,Uber
20/07/2018 19:58,Cash,Food,Onions,onion 1 kg,25.0,Expense,INR,0.3,Uber
20/07/2018 13:06,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,155.0,Expense,INR,1.86,Lyft
20/07/2018 12:29,Cash,Health,Medicine,Cataract Medicine,87.0,Expense,INR,1.044,Starbucks
20/07/2018 9:11,Credit Card,Health,Medicine,Cataract Medicine,1048.0,Expense,INR,12.576,Amazon
19/07/2018 20:25,Cash,Food,curd,Dahi 4 packets,40.0,Expense,INR,0.48,Starbucks
18/07/2018 20:26,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR,2.592,Target
16/07/2018 17:51,Cash,Apparel,Laundry,12 clothes ironing,84.0,Expense,INR,1.008,Uber
16/07/2018 10:43,Credit Card,Household,Hardware,Sony WI-C100 earphones wireless,1190.0,Expense,INR,14.28,Amazon
16/07/2018 10:41,Cash,Food,snacks,7 kachori,84.0,Expense,INR,1.008,Best Buy
15/07/2018 19:12,Cash,Food,fruits,,30.0,Expense,INR,0.36,Shell
15/07/2018 18:01,Cash,Food,vegetables,,500.0,Expense,INR,6.0,Walmart
15/07/2018 9:41,Cash,Food,snacks,4 kachori,48.0,Expense,INR,0.576,eBay
14/07/2018 18:10,Saving Bank account 1,Other,,CA  - income tax filing,2000.0,Expense,INR,24.0,Shell
13/07/2018 14:02,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,188.0,Expense,INR,2.256,Amazon
13/07/2018 9:36,Credit Card,Health,Medicine,Cataract Medicine,1358.0,Expense,INR,16.296,Target
13/07/2018,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR,60.0,Target
13/07/2018,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR,60.0,Home Depot
12/07/2018,Cash,Food,Eggs,6 eggs,35.0,Expense,INR,0.42,Walmart
11/07/2018,Cash,Food,Bread,2 bread packets,57.0,Expense,INR,0.684,eBay
10/07/2018,Saving Bank account 1,Dividend earned on Shares,,Tata Steel Stocks,180.0,Income,INR,2.16,Amazon
9/07/2018,Cash,Transportation,Petrol,3.4 Lit Petrol,360.0,Expense,INR,4.32,Home Depot
9/07/2018,Cash,Food,Biscuits,Toast packet,20.0,Expense,INR,0.24,Best Buy
9/07/2018,Cash,Food,Grocery,Shev bhaji sev pav kg,60.0,Expense,INR,0.72,Best Buy
8/07/2018,Cash,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,185.0,Expense,INR,2.22,Amazon
8/07/2018,Saving Bank account 1,Food,Tea,3 cutting chai,30.0,Expense,INR,0.36,Best Buy
8/07/2018,Credit Card,Health,Medicine,eye drop,153.0,Expense,INR,1.836,eBay
8/07/2018,Cash,Health,Hospital,Hospital consultation,500.0,Expense,INR,6.0,eBay
8/07/2018,Cash,Transportation,Taxi,Ola cab - Current Residence CHS to eye institute,130.0,Expense,INR,1.56,Amazon
8/07/2018,Saving Bank account 1,Transportation,Taxi,To and Fro Cab Fare Contribution,675.0,Expense,INR,8.1,Lyft
7/07/2018,Cash,Transportation,Train,Place 4 to Place 0,10.0,Expense,INR,0.12,Target
7/07/2018,Credit Card,Food,Lunch,At restaurant,2.0,Expense,INR,0.024,Starbucks
7/07/2018,Saving Bank account 1,subscription,Mahanagar Gas,,196.0,Expense,INR,2.352,Best Buy
7/07/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR,12.0,Starbucks
6/07/2018,Cash,Food,Dinner,At restaurant,760.0,Expense,INR,9.12,eBay
6/07/2018,Cash,Transportation,Taxi,Park Inn Goa,100.0,Expense,INR,1.2,Best Buy
5/07/2018,Cash,Transportation,auto,Terminal 1 to Terminal 2,83.0,Expense,INR,0.996,Amazon
5/07/2018,Cash,Food,Tea,cutting chai,7.0,Expense,INR,0.084,Amazon
5/07/2018,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR,0.18,Best Buy
5/07/2018,Cash,Transportation,Train,Place 0 to Place P,20.0,Expense,INR,0.24,Best Buy
4/07/2018,Cash,Health,Hospital,Doctor Fees,100.0,Expense,INR,1.2,Walmart
4/07/2018,Cash,Beauty,grooming,Shaving,50.0,Expense,INR,0.6,Lyft
4/07/2018,Cash,Family,Pocket money,,350.0,Expense,INR,4.2,Interac Transfer
4/07/2018,Saving Bank account 1,Health,Lab Tests,2 Thyroid (1000) + cholesterol (220) + uric acid (220),1440.0,Expense,INR,17.28,Amazon
3/07/2018,Cash,maid,,,500.0,Expense,INR,6.0,Uber
3/07/2018,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR,0.432,Walmart
3/07/2018,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,154.0,Expense,INR,1.848,Amazon
3/07/2018,Saving Bank account 1,Dividend earned on Shares,,Infosys Stocks,52.5,Income,INR,0.63,eBay
3/07/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000.0,Transfer-Out,INR,24.0,Target
2/07/2018,Saving Bank account 1,Household,Kirana,Supermart,1595.0,Expense,INR,19.14,Best Buy
2/07/2018,Cash,Transportation,auto,Place 1 bridge to Current Residence 2 seats,50.0,Expense,INR,0.6,Home Depot
2/07/2018,Cash,Transportation,Bus,2 Place 6 Stand to MS,20.0,Expense,INR,0.24,eBay
2/07/2018,Credit Card,Household,home decor,Face towels + shampoo,626.0,Expense,INR,7.512,Shell
2/07/2018,Cash,Transportation,Bus,2 Place 1 to  mall,26.0,Expense,INR,0.312,Lyft
2/07/2018,Cash,Transportation,auto,Current Residence to Place 1 bus stop highway,40.0,Expense,INR,0.48,Uber
1/07/2018,Debit Card,Culture,Movie,2 PVR ,461.0,Expense,INR,5.532,Lyft
1/07/2018,Credit Card,Transportation,Travels,2 Place 2 to Place 1 - Shree Sharma Travels,1890.0,Expense,INR,22.68,Starbucks
1/07/2018,Saving Bank account 1,Food,snacks,Vadapav,15.0,Expense,INR,0.18,Home Depot
1/07/2018,Saving Bank account 1,Apparel,Clothing,undergarments pair of Jockey,430.0,Expense,INR,5.16,Uber
1/07/2018,Cash,Apparel,Laundry,clothes ironing,98.0,Expense,INR,1.176,Shell
1/07/2018,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR,0.864,Shell
1/07/2018,Saving Bank account 1,Public Provident Fund,,,12500.0,Transfer-Out,INR,150.0,Target
1/07/2018,Saving Bank account 1,Money transfer,Home,,10000.0,Expense,INR,120.0,Walmart
30/06/2018 18:47,Saving Bank account 1,Household,Appliances,Aqugurad PRV,1200.0,Expense,INR,14.4,eBay
30/06/2018 8:45,Saving Bank account 1,Dividend earned on Shares,,Asian paints Stocks,43.0,Income,INR,0.516,Uber
30/06/2018 8:45,Saving Bank account 1,Interest,,interest paid,342.0,Income,INR,4.104,Amazon
30/06/2018 8:44,Saving Bank account 1,Salary,,From workplace ,65122.0,Income,INR,781.464,Best Buy
29/06/2018 17:01,Saving Bank account 1,Dividend earned on Shares,,HUL Stocks,44.0,Income,INR,0.528,Walmart
29/06/2018 16:13,Cash,Household,Hardware,Tulsi plant+ pot,70.0,Expense,INR,0.84,Home Depot
29/06/2018 16:10,Cash,Household,Kitchen,Math tap repair,50.0,Expense,INR,0.6,Home Depot
29/06/2018 15:28,Cash,Household,Appliances,3 bulbs 3 pencil cells,270.0,Expense,INR,3.24,Walmart
28/06/2018 20:44,Credit Card,Food,Dinner,Home Food Delivery,455.0,Expense,INR,5.46,Walmart
28/06/2018 18:35,Cash,Food,snacks,Bhaji + vadapav + kachori+ tea,70.0,Expense,INR,0.84,Uber
28/06/2018 15:06,Cash,Transportation,Taxi,Vadala road to Nehru Planetarium,228.0,Expense,INR,2.736,eBay
28/06/2018 10:08,Credit Card,Apparel,Footwear,Mast & Harbour Slides,64.82,Expense,INR,0.77784,Walmart
27/06/2018 21:32,Credit Card,Tourism,Entry Fees,Planetarium,308.85,Expense,INR,3.7062,Starbucks
27/06/2018 19:11,Saving Bank account 1,Other,,From Family,3000.0,Income,INR,36.0,Uber
27/06/2018 18:53,Cash,Food,Tea,2 cups,14.0,Expense,INR,0.168,Home Depot
27/06/2018 18:48,Cash,Household,gadgets,Mobile cover real mi note pro,100.0,Expense,INR,1.2,Amazon
27/06/2018 18:46,Credit Card,Other,,Shopping at Alfa,4720.0,Expense,INR,56.64,Home Depot
27/06/2018 18:46,Cash,Household,gadgets,Mouse pad,100.0,Expense,INR,1.2,eBay
27/06/2018 18:43,Credit Card,Apparel,Accessories,Purse,450.0,Expense,INR,5.4,Best Buy
27/06/2018 18:19,Credit Card,Apparel,Footwear,Rainy season chappal,550.0,Expense,INR,6.6,Amazon
27/06/2018 18:18,Cash,Transportation,auto,Place P station to Alfa market,25.0,Expense,INR,0.3,Best Buy
27/06/2018 14:00,Cash,Transportation,Train,2 Place 0 to Place P return,80.0,Expense,INR,0.96,Amazon
27/06/2018 13:59,Cash,Transportation,auto,2 Current Residence to Place 0,30.0,Expense,INR,0.36,Walmart
27/06/2018 6:30,Share Market Trading,Saving Bank account 1,,Refund,2549.59,Transfer-Out,INR,30.59508,Target
26/06/2018 19:47,Cash,Transportation,auto,2 Place 0 to Current Residence,30.0,Expense,INR,0.36,Target
26/06/2018 19:47,Credit Card,Household,Kirana,Supermart,1990.0,Expense,INR,23.88,Amazon
26/06/2018 17:25,Saving Bank account 1,Household,Appliances,Aqugurad water purifier,13050.0,Expense,INR,156.6,Walmart
26/06/2018 12:49,Saving Bank account 1,Household,Hardware,Umbrella handle repair,70.0,Expense,INR,0.84,eBay
26/06/2018 11:47,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR,0.24,Starbucks
26/06/2018 11:45,Cash,Food,Tea,2 cutting chai,20.0,Expense,INR,0.24,Amazon
26/06/2018 11:44,Cash,Food,snacks,Bhaji + vadapav,30.0,Expense,INR,0.36,Walmart
25/06/2018 15:09,Saving Bank account 1,Food,Lunch,Home Food Delivery,320.0,Expense,INR,3.84,Walmart
25/06/2018 14:23,Credit Card,Household,Kirana,Smart point,2074.0,Expense,INR,24.888,Target
24/06/2018 16:11,Cash,Transportation,auto,2 Place 0 to Current Residence,40.0,Expense,INR,0.48,Best Buy
24/06/2018 16:11,Saving Bank account 1,Food,breakfast,Bread,18.0,Expense,INR,0.216,Walmart
24/06/2018 16:11,Saving Bank account 1,Food,Milk,milk 1lit ,72.0,Expense,INR,0.864,Lyft
24/06/2018 14:37,Credit Card,Health,Health,Suppliemnts,211.75,Expense,INR,2.541,Best Buy
24/06/2018 13:31,Cash,Transportation,Train,2 Place 5 to Place 0,30.0,Expense,INR,0.36,Home Depot
24/06/2018 11:29,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR,1.884,Best Buy
24/06/2018 11:00,Cash,Food,snacks,2 Vadapav 2 samosa pav,60.0,Expense,INR,0.72,Amazon
23/06/2018 19:25,Credit Card,subscription,Mobile Service Provider,Annual recharge,2545.0,Expense,INR,30.54,Lyft
23/06/2018 10:15,Cash,Transportation,auto,,30.0,Expense,INR,0.36,Starbucks
22/06/2018 15:32,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,181.0,Expense,INR,2.172,Walmart
19/06/2018 13:24,Saving Bank account 1,Family,Pocket money,,2000.0,Expense,INR,24.0,Interac Transfer
19/06/2018 10:25,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,25.0,Expense,INR,0.3,Target
18/06/2018 22:18,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR,0.18,Uber
16/06/2018 9:01,Saving Bank account 1,Share Market,,,8500.0,Transfer-Out,INR,102.0,Target
15/06/2018 21:19,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,15.0,Expense,INR,0.18,Lyft
15/06/2018 9:24,Saving Bank account 1,Transportation,train,2CC Place 2 to DDR Spl Train,1213.6,Expense,INR,14.5632,Shell
13/06/2018,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR,60.0,Home Depot
13/06/2018,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR,60.0,eBay
11/06/2018,Cash,Food,Eggs,12 eggs,84.0,Expense,INR,1.008,Lyft
11/06/2018,Credit Card,Self-development,,Marathon,1407.0,Expense,INR,16.884,Lyft
10/06/2018,Saving Bank account 1,Household,home decor,Sofa covers,3000.0,Expense,INR,36.0,Best Buy
9/06/2018,Credit Card,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR,8.004,Home Depot
7/06/2018,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR,12.0,Uber
1/06/2018,Saving Bank account 1,Public Provident Fund,,,12500.0,Transfer-Out,INR,150.0,Walmart
1/06/2018,Equity Mutual Fund B,Saving Bank account 1,,,2000.0,Transfer-Out,INR,24.0,Best Buy
31/05/2018 8:47,Saving Bank account 1,Salary,,From workplace ,65134.0,Income,INR,781.608,Amazon
30/05/2018 7:42,Saving Bank account 1,Dividend earned on Shares,,HDFC Stocks,88.0,Income,INR,1.056,Walmart
28/05/2018 14:11,Credit Card,subscription,Mobile Service Provider,Data booster pack,25.0,Expense,INR,0.3,Starbucks
28/05/2018 10:41,Cash,Beauty,grooming,hair cut,100.0,Expense,INR,1.2,eBay
27/05/2018 10:50,Saving Bank account 2,Interest,,interest paid,28.0,Income,INR,0.336,Shell
27/05/2018 10:50,Cash,Household,Kirana,Soap + dahya pav kg,75.0,Expense,INR,0.9,Lyft
26/05/2018 7:55,Cash,Transportation,auto,Permanent Residence to Motor Driving school,50.0,Expense,INR,0.6,Shell
24/05/2018 9:04,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR,8.004,Uber
23/05/2018 21:20,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,166.0,Expense,INR,1.992,Lyft
22/05/2018 20:47,Cash,Health,Health,2 All out refill,154.0,Expense,INR,1.848,Walmart
22/05/2018,Saving Bank account 1,Life Insurance,,,11043.0,Transfer-Out,INR,132.516,Shell
21/05/2018 14:06,Cash,Family,Pocket money,,140.0,Expense,INR,1.68,Interac Transfer
